GENE	AE_1	AE_2
AC092745.1	31449.2	31450.2
AC092745.3	31450.2	31451.2
RPS3AP43	31451.2	31452.2
AC092865.4	31452.2	31453.2
AC092865.3	31453.2	31454.2
AC092865.2	31454.2	31455.2
OR7E140P	31455.2	31456.2
OR7E148P	31456.2	31457.2
OR7E149P	31457.2	31458.2
CLEC6A	31458.2	31459.2
AC092865.1	31459.2	31460.2
CLEC4D	31460.2	31461.2
SUPT4H1P2	31461.2	31462.2
CLEC4E	31462.2	31463.2
AC092746.1	31463.2	31464.2
AICDA	31464.2	31465.2
AC092184.2	31465.2	31466.2
HADHAP2	31466.2	31467.2
MFAP5	31467.2	31468.2
AC092490.2	31468.2	31469.2
AC092490.3	31469.2	31470.2
RIMKLB	31470.2	31471.2
RPSAP51	31471.2	31472.2
A2ML1-AS1	31472.2	31473.2
AC092490.1	31473.2	31474.2
A2ML1-AS2	31474.2	31475.2
A2ML1	31475.2	31476.2
AC006581.2	31476.2	31477.2
PHC1	31477.2	31478.2
M6PR	31478.2	31479.2
KLRG1	31479.2	31480.2
AC006581.1	31480.2	31481.2
HNRNPA1P34	31481.2	31482.2
VDAC2P2	31482.2	31483.2
LINC00612	31483.2	31484.2
A2M-AS1	31484.2	31485.2
A2M	31485.2	31486.2
KRT17P8	31486.2	31487.2
BTG1P1	31487.2	31488.2
PZP	31488.2	31489.2
TPT1P12	31489.2	31490.2
A2MP1	31490.2	31491.2
PTMAP4	31491.2	31492.2
LINC00987	31492.2	31493.2
AC010175.1	31493.2	31494.2
AC009533.1	31494.2	31495.2
AC009533.2	31495.2	31496.2
LINC02367	31496.2	31497.2
AC141557.1	31497.2	31498.2
AC141557.2	31498.2	31499.2
DDX12P	31499.2	31500.2
AC092821.3	31500.2	31501.2
AC092821.1	31501.2	31502.2
AC092821.2	31502.2	31503.2
KLRB1	31503.2	31504.2
GOT2P3	31504.2	31505.2
AC010186.4	31505.2	31506.2
AC010186.1	31506.2	31507.2
AC010186.2	31507.2	31508.2
AC010186.3	31508.2	31509.2
CLEC2D	31509.2	31510.2
NPM1P7	31510.2	31511.2
LINC02390	31511.2	31512.2
CLECL1	31512.2	31513.2
CD69	31513.2	31514.2
GCNAP1	31514.2	31515.2
KLRF1	31515.2	31516.2
CLEC2B	31516.2	31517.2
AC091814.1	31517.2	31518.2
KLRF2	31518.2	31519.2
CLEC2A	31519.2	31520.2
LINC02470	31520.2	31521.2
CLEC12A-AS1	31521.2	31522.2
CLEC12A	31522.2	31523.2
CLEC1B	31523.2	31524.2
CLEC12B	31524.2	31525.2
AC024224.2	31525.2	31526.2
CLEC9A	31526.2	31527.2
AC024224.1	31527.2	31528.2
CLEC1A	31528.2	31529.2
HNRNPABP1	31529.2	31530.2
CLEC7A	31530.2	31531.2
OLR1	31531.2	31532.2
TMEM52B	31532.2	31533.2
GABARAPL1	31533.2	31534.2
GABARAPL1-AS1	31534.2	31535.2
KLRD1	31535.2	31536.2
LINC02617	31536.2	31537.2
LINC02598	31537.2	31538.2
KLRK1-AS1	31538.2	31539.2
KLRC4-KLRK1	31539.2	31540.2
KLRK1	31540.2	31541.2
KLRC4	31541.2	31542.2
AC068775.1	31542.2	31543.2
KLRC3	31543.2	31544.2
KLRC2	31544.2	31545.2
KLRC1	31545.2	31546.2
EIF2S3B	31546.2	31547.2
SLC25A39P2	31547.2	31548.2
LINC02446	31548.2	31549.2
KLRA1P	31549.2	31550.2
MAGOHB	31550.2	31551.2
STYK1	31551.2	31552.2
YBX3	31552.2	31553.2
HSPE1P12	31553.2	31554.2
TAS2R7	31554.2	31555.2
TAS2R8	31555.2	31556.2
TAS2R9	31556.2	31557.2
PRH1	31557.2	31558.2
TAS2R10	31558.2	31559.2
AC006518.1	31559.2	31560.2
PRR4	31560.2	31561.2
AC018630.4	31561.2	31562.2
AC006518.2	31562.2	31563.2
TAS2R13	31563.2	31564.2
PRH2	31564.2	31565.2
TAS2R14	31565.2	31566.2
TAS2R15P	31566.2	31567.2
TAS2R50	31567.2	31568.2
TAS2R20	31568.2	31569.2
TAS2R19	31569.2	31570.2
TAS2R31	31570.2	31571.2
TAS2R63P	31571.2	31572.2
TAS2R46	31572.2	31573.2
TAS2R64P	31573.2	31574.2
TAS2R43	31574.2	31575.2
AC018630.1	31575.2	31576.2
TAS2R30	31576.2	31577.2
AC134349.2	31577.2	31578.2
AC134349.1	31578.2	31579.2
SMIM10L1	31579.2	31580.2
TAS2R42	31580.2	31581.2
AC244131.1	31581.2	31582.2
AC244131.2	31582.2	31583.2
PRB3	31583.2	31584.2
PRB4	31584.2	31585.2
PRB1	31585.2	31586.2
PRB2	31586.2	31587.2
AC078950.1	31587.2	31588.2
HIGD1AP8	31588.2	31589.2
AC007450.4	31589.2	31590.2
AC007450.3	31590.2	31591.2
DDX55P1	31591.2	31592.2
AC007450.2	31592.2	31593.2
AC007450.1	31593.2	31594.2
LINC01252	31594.2	31595.2
ETV6	31595.2	31596.2
BCL2L14	31596.2	31597.2
PTMAP9	31597.2	31598.2
LRP6	31598.2	31599.2
AC007537.1	31599.2	31600.2
AC007621.3	31600.2	31601.2
MANSC1	31601.2	31602.2
RPL23AP66	31602.2	31603.2
LOH12CR2	31603.2	31604.2
BORCS5	31604.2	31605.2
AC007619.2	31605.2	31606.2
DUSP16	31606.2	31607.2
AC007619.1	31607.2	31608.2
AC092824.1	31608.2	31609.2
CREBL2	31609.2	31610.2
RPL21P136	31610.2	31611.2
AC008115.4	31611.2	31612.2
GPR19	31612.2	31613.2
AC008115.2	31613.2	31614.2
CDKN1B	31614.2	31615.2
AC008115.3	31615.2	31616.2
AC008115.1	31616.2	31617.2
APOLD1	31617.2	31618.2
STX8P1	31618.2	31619.2
DDX47	31619.2	31620.2
AC007215.1	31620.2	31621.2
AC007688.2	31621.2	31622.2
RPL13AP20	31622.2	31623.2
GPRC5A	31623.2	31624.2
GPRC5D-AS1	31624.2	31625.2
GPRC5D	31625.2	31626.2
AC007688.3	31626.2	31627.2
HEBP1	31627.2	31628.2
HTR7P1	31628.2	31629.2
AC023790.2	31629.2	31630.2
AC023790.1	31630.2	31631.2
FAM234B	31631.2	31632.2
GSG1	31632.2	31633.2
EMP1	31633.2	31634.2
LINC01559	31634.2	31635.2
GRIN2B	31635.2	31636.2
AC007527.1	31636.2	31637.2
AC007527.2	31637.2	31638.2
AC092470.1	31638.2	31639.2
AC135001.1	31639.2	31640.2
AC092112.1	31640.2	31641.2
MRPS18CP4	31641.2	31642.2
GNAI2P1	31642.2	31643.2
RPL30P11	31643.2	31644.2
ATF7IP	31644.2	31645.2
PLBD1	31645.2	31646.2
AC008114.1	31646.2	31647.2
PLBD1-AS1	31647.2	31648.2
GUCY2C	31648.2	31649.2
AC010168.1	31649.2	31650.2
AC010168.2	31650.2	31651.2
H4-16	31651.2	31652.2
H2AJ	31652.2	31653.2
WBP11	31653.2	31654.2
C12orf60	31654.2	31655.2
SMCO3	31655.2	31656.2
AC007655.2	31656.2	31657.2
ART4	31657.2	31658.2
AC007655.1	31658.2	31659.2
MGP	31659.2	31660.2
ERP27	31660.2	31661.2
ARHGDIB	31661.2	31662.2
PDE6H	31662.2	31663.2
RERG	31663.2	31664.2
RERG-IT1	31664.2	31665.2
RERG-AS1	31665.2	31666.2
METTL8P1	31666.2	31667.2
PTPRO	31667.2	31668.2
AC092183.1	31668.2	31669.2
EPS8	31669.2	31670.2
AC073651.1	31670.2	31671.2
AC073651.2	31671.2	31672.2
STRAP	31672.2	31673.2
DERA	31673.2	31674.2
EGLN3P1	31674.2	31675.2
SLC15A5	31675.2	31676.2
MGST1	31676.2	31677.2
SUPT16HP1	31677.2	31678.2
AC007552.1	31678.2	31679.2
LMO3	31679.2	31680.2
AC007552.2	31680.2	31681.2
AC007529.2	31681.2	31682.2
AC007529.1	31682.2	31683.2
SKP1P2	31683.2	31684.2
EEF1A1P16	31684.2	31685.2
AC092110.1	31685.2	31686.2
RPL7P40	31686.2	31687.2
PSMC1P8	31687.2	31688.2
TIMM17BP1	31688.2	31689.2
AC048352.1	31689.2	31690.2
LINC02378	31690.2	31691.2
RERGL	31691.2	31692.2
PIK3C2G	31692.2	31693.2
NDFIP1P1	31693.2	31694.2
AC092851.1	31694.2	31695.2
ZKSCAN7P1	31695.2	31696.2
PLCZ1	31696.2	31697.2
PSMC1P9	31697.2	31698.2
AC087242.1	31698.2	31699.2
CAPZA3	31699.2	31700.2
RPL7P6	31700.2	31701.2
MEF2BNBP1	31701.2	31702.2
PLEKHA5	31702.2	31703.2
AC092828.1	31703.2	31704.2
AEBP2	31704.2	31705.2
PDCD5P1	31705.2	31706.2
AC091805.2	31706.2	31707.2
EEF1A1P4	31707.2	31708.2
AC091805.1	31708.2	31709.2
AC024901.1	31709.2	31710.2
TCP1P3	31710.2	31711.2
LINC02398	31711.2	31712.2
LINC02468	31712.2	31713.2
AC129102.1	31713.2	31714.2
PDE3A	31714.2	31715.2
UBE2L2	31715.2	31716.2
AC112777.1	31716.2	31717.2
SLCO1C1	31717.2	31718.2
SLCO1B3	31718.2	31719.2
SLCO1B3-SLCO1B7	31719.2	31720.2
AC011604.1	31720.2	31721.2
SLCO1B7	31721.2	31722.2
AC022335.1	31722.2	31723.2
SLCO1B1	31723.2	31724.2
SLCO1A2	31724.2	31725.2
IAPP	31725.2	31726.2
PYROXD1	31726.2	31727.2
ELOCP31	31727.2	31728.2
RECQL	31728.2	31729.2
GOLT1B	31729.2	31730.2
SPX	31730.2	31731.2
GYS2	31731.2	31732.2
AC010197.2	31732.2	31733.2
LDHB	31733.2	31734.2
AC010197.1	31734.2	31735.2
AC010185.1	31735.2	31736.2
KCNJ8	31736.2	31737.2
ABCC9	31737.2	31738.2
AC008250.1	31738.2	31739.2
AC008250.2	31739.2	31740.2
AC092862.1	31740.2	31741.2
CMAS	31741.2	31742.2
ST8SIA1	31742.2	31743.2
AC007671.1	31743.2	31744.2
SULT6B2P	31744.2	31745.2
AC087318.1	31745.2	31746.2
C2CD5	31746.2	31747.2
AC053513.2	31747.2	31748.2
LRRC34P1	31748.2	31749.2
AC087241.1	31749.2	31750.2
AC087241.2	31750.2	31751.2
ETNK1	31751.2	31752.2
AC084816.1	31752.2	31753.2
RPS27P22	31753.2	31754.2
AC084819.1	31754.2	31755.2
AC087258.1	31755.2	31756.2
AC087235.2	31756.2	31757.2
AC087235.1	31757.2	31758.2
SOX5	31758.2	31759.2
AC087260.1	31759.2	31760.2
SOX5-AS1	31760.2	31761.2
LINC00477	31761.2	31762.2
KNOP1P1	31762.2	31763.2
AC087312.1	31763.2	31764.2
AC023796.1	31764.2	31765.2
BCAT1	31765.2	31766.2
AC023796.2	31766.2	31767.2
AC026310.2	31767.2	31768.2
AC026310.1	31768.2	31769.2
BRI3P2	31769.2	31770.2
C12orf77	31770.2	31771.2
IRAG2	31771.2	31772.2
CENPUP2	31772.2	31773.2
AC023510.1	31773.2	31774.2
AC023510.2	31774.2	31775.2
CFAP94	31775.2	31776.2
ETFRF1	31776.2	31777.2
KRAS	31777.2	31778.2
AC092794.1	31778.2	31779.2
AC092794.2	31779.2	31780.2
AC087239.1	31780.2	31781.2
AC092451.1	31781.2	31782.2
LMNTD1	31782.2	31783.2
AC092451.2	31783.2	31784.2
FAM133GP	31784.2	31785.2
TUBB4BP1	31785.2	31786.2
AC022367.1	31786.2	31787.2
AC019209.3	31787.2	31788.2
TDGP1	31788.2	31789.2
AC019209.2	31789.2	31790.2
AC019209.1	31790.2	31791.2
RASSF8-AS1	31791.2	31792.2
RASSF8	31792.2	31793.2
BHLHE41	31793.2	31794.2
SSPN	31794.2	31795.2
AC022509.3	31795.2	31796.2
AC022509.2	31796.2	31797.2
AC022509.1	31797.2	31798.2
AC022509.4	31798.2	31799.2
AC055720.3	31799.2	31800.2
AC024145.1	31800.2	31801.2
ITPR2	31801.2	31802.2
AC055720.2	31802.2	31803.2
AC023051.1	31803.2	31804.2
AC023051.2	31804.2	31805.2
INTS13	31805.2	31806.2
FGFR1OP2	31806.2	31807.2
TM7SF3	31807.2	31808.2
AC024896.1	31808.2	31809.2
MED21	31809.2	31810.2
AC092747.4	31810.2	31811.2
C12orf71	31811.2	31812.2
AC092747.3	31812.2	31813.2
AC092747.1	31813.2	31814.2
AC092747.2	31814.2	31815.2
STK38L	31815.2	31816.2
ARNTL2	31816.2	31817.2
ARNTL2-AS1	31817.2	31818.2
SMCO2	31818.2	31819.2
RARS1P1	31819.2	31820.2
PPFIBP1	31820.2	31821.2
AC087257.1	31821.2	31822.2
AC087257.2	31822.2	31823.2
AC009509.3	31823.2	31824.2
AC009509.1	31824.2	31825.2
REP15	31825.2	31826.2
AC009509.4	31826.2	31827.2
HMGB1P49	31827.2	31828.2
AC009509.2	31828.2	31829.2
MRPS35	31829.2	31830.2
MANSC4	31830.2	31831.2
AC009511.2	31831.2	31832.2
KLHL42	31832.2	31833.2
AC009511.1	31833.2	31834.2
AC008011.1	31834.2	31835.2
PTHLH	31835.2	31836.2
AC008011.2	31836.2	31837.2
CCDC91	31837.2	31838.2
AC022364.1	31838.2	31839.2
AC022364.2	31839.2	31840.2
AC022079.2	31840.2	31841.2
AC022079.1	31841.2	31842.2
AC084754.1	31842.2	31843.2
AC022081.1	31843.2	31844.2
AC024255.1	31844.2	31845.2
AC012150.1	31845.2	31846.2
FAR2	31846.2	31847.2
AC012150.2	31847.2	31848.2
AC009318.4	31848.2	31849.2
AC009318.1	31849.2	31850.2
AC009318.3	31850.2	31851.2
AC009318.2	31851.2	31852.2
ERGIC2	31852.2	31853.2
OVCH1-AS1	31853.2	31854.2
OVCH1	31854.2	31855.2
TMTC1	31855.2	31856.2
AC009320.1	31856.2	31857.2
RPL21P99	31857.2	31858.2
AC023511.2	31858.2	31859.2
AC023511.1	31859.2	31860.2
LINC02386	31860.2	31861.2
AC078776.2	31861.2	31862.2
AC078776.1	31862.2	31863.2
AC026371.1	31863.2	31864.2
IPO8	31864.2	31865.2
AC012673.1	31865.2	31866.2
CAPRIN2	31866.2	31867.2
AC010198.1	31867.2	31868.2
LINC00941	31868.2	31869.2
AC010198.2	31869.2	31870.2
PPIAP44	31870.2	31871.2
TSPAN11	31871.2	31872.2
AC008013.1	31872.2	31873.2
AC008013.2	31873.2	31874.2
DDX11-AS1	31874.2	31875.2
DDX11	31875.2	31876.2
AC008013.3	31876.2	31877.2
AC024940.1	31877.2	31878.2
AC024940.4	31878.2	31879.2
AC024940.2	31879.2	31880.2
MREGP1	31880.2	31881.2
AC024940.5	31881.2	31882.2
SINHCAF	31882.2	31883.2
AC024940.3	31883.2	31884.2
FLJ13224	31884.2	31885.2
LINC02387	31885.2	31886.2
DENND5B	31886.2	31887.2
AC068792.1	31887.2	31888.2
AC022080.1	31888.2	31889.2
AC022080.2	31889.2	31890.2
ANKRD49P2	31890.2	31891.2
DENND5B-AS1	31891.2	31892.2
RPL31P50	31892.2	31893.2
AK4P3	31893.2	31894.2
ETFBKMT	31894.2	31895.2
AMN1	31895.2	31896.2
STMN1P1	31896.2	31897.2
AC023157.2	31897.2	31898.2
AC023157.1	31898.2	31899.2
IFITM3P2	31899.2	31900.2
H3-5	31900.2	31901.2
AC023050.3	31901.2	31902.2
LINC02422	31902.2	31903.2
AC023050.4	31903.2	31904.2
AC023050.1	31904.2	31905.2
RPL12P32	31905.2	31906.2
AC023050.5	31906.2	31907.2
RESF1	31907.2	31908.2
AC016957.2	31908.2	31909.2
AC016957.1	31909.2	31910.2
AC048344.2	31910.2	31911.2
AC048344.3	31911.2	31912.2
AC048344.1	31912.2	31913.2
BICD1	31913.2	31914.2
AC048344.4	31914.2	31915.2
AC016954.1	31915.2	31916.2
AC026356.1	31916.2	31917.2
AC026356.2	31917.2	31918.2
FGD4	31918.2	31919.2
DNM1L	31919.2	31920.2
AC084824.2	31920.2	31921.2
AC084824.5	31921.2	31922.2
AC084824.1	31922.2	31923.2
YARS2	31923.2	31924.2
AC084824.3	31924.2	31925.2
AC084824.4	31925.2	31926.2
PKP2	31926.2	31927.2
AC087588.1	31927.2	31928.2
RPL35AP27	31928.2	31929.2
ASS1P14	31929.2	31930.2
AC087311.1	31930.2	31931.2
SYT10	31931.2	31932.2
AC023158.1	31932.2	31933.2
AC023158.2	31933.2	31934.2
AC016956.1	31934.2	31935.2
AC024153.1	31935.2	31936.2
AC046130.1	31936.2	31937.2
ALG10	31937.2	31938.2
AC140847.1	31938.2	31939.2
AC140847.3	31939.2	31940.2
TUBB8P4	31940.2	31941.2
AC140847.2	31941.2	31942.2
DUX4L27	31942.2	31943.2
AK6P1	31943.2	31944.2
ZNF970P	31944.2	31945.2
AK6P2	31945.2	31946.2
CLUHP8	31946.2	31947.2
TUBB8P5	31947.2	31948.2
AC117372.1	31948.2	31949.2
NF1P12	31949.2	31950.2
ALG10B	31950.2	31951.2
AC087897.1	31951.2	31952.2
AC087897.2	31952.2	31953.2
CPNE8	31953.2	31954.2
CPNE8-AS1	31954.2	31955.2
AC018448.2	31955.2	31956.2
AC018448.1	31956.2	31957.2
LINC02406	31957.2	31958.2
AC084373.1	31958.2	31959.2
KIF21A	31959.2	31960.2
AC121334.1	31960.2	31961.2
AC121334.2	31961.2	31962.2
ABCD2	31962.2	31963.2
AC121334.3	31963.2	31964.2
C12orf40	31964.2	31965.2
SLC2A13	31965.2	31966.2
RPL30P13	31966.2	31967.2
LINC02555	31967.2	31968.2
LINC02471	31968.2	31969.2
LRRK2-DT	31969.2	31970.2
LRRK2	31970.2	31971.2
AC084290.1	31971.2	31972.2
MUC19	31972.2	31973.2
AC107023.1	31973.2	31974.2
CNTN1	31974.2	31975.2
AC016144.1	31975.2	31976.2
AC015540.1	31976.2	31977.2
PDZRN4	31977.2	31978.2
AC090531.1	31978.2	31979.2
MTND2P17	31979.2	31980.2
MTND1P24	31980.2	31981.2
AC090630.1	31981.2	31982.2
AC006197.1	31982.2	31983.2
AC023513.1	31983.2	31984.2
GXYLT1	31984.2	31985.2
YAF2	31985.2	31986.2
PPHLN1	31986.2	31987.2
AC020629.1	31987.2	31988.2
ZCRB1	31988.2	31989.2
AC079684.1	31989.2	31990.2
AC079601.2	31990.2	31991.2
PRICKLE1	31991.2	31992.2
AC079601.1	31992.2	31993.2
AC079600.3	31993.2	31994.2
AC079600.2	31994.2	31995.2
AC079600.1	31995.2	31996.2
LINC02451	31996.2	31997.2
RPS27P21	31997.2	31998.2
LINC02450	31998.2	31999.2
AC068802.1	31999.2	32000.2
AC012038.2	32000.2	32001.2
AC012038.1	32001.2	32002.2
MRPS36P5	32002.2	32003.2
LINC02461	32003.2	32004.2
ADAMTS20	32004.2	32005.2
AC090525.1	32005.2	32006.2
AC090525.2	32006.2	32007.2
AC090525.3	32007.2	32008.2
EEF1A1P17	32008.2	32009.2
PUS7L	32009.2	32010.2
AC093012.1	32010.2	32011.2
IRAK4	32011.2	32012.2
TWF1	32012.2	32013.2
TMEM117	32013.2	32014.2
ZNF75BP	32014.2	32015.2
AC025030.2	32015.2	32016.2
AC025030.1	32016.2	32017.2
AC025253.1	32017.2	32018.2
NELL2	32018.2	32019.2
DBX2	32019.2	32020.2
AC008127.1	32020.2	32021.2
RACGAP1P1	32021.2	32022.2
SSBL3P	32022.2	32023.2
PLEKHA8P1	32023.2	32024.2
AC009248.1	32024.2	32025.2
ANO6	32025.2	32026.2
AC009248.2	32026.2	32027.2
AC063924.1	32027.2	32028.2
AC079950.1	32028.2	32029.2
AC008124.1	32029.2	32030.2
ARID2	32030.2	32031.2
AC009464.1	32031.2	32032.2
KNOP1P2	32032.2	32033.2
SCAF11	32033.2	32034.2
AC084878.1	32034.2	32035.2
SLC38A1	32035.2	32036.2
AC025031.3	32036.2	32037.2
SLC38A2	32037.2	32038.2
AC025031.2	32038.2	32039.2
AC008014.1	32039.2	32040.2
AC025031.1	32040.2	32041.2
AC025031.4	32041.2	32042.2
AC025031.5	32042.2	32043.2
AC008035.1	32043.2	32044.2
OR7A19P	32044.2	32045.2
MARK3P1	32045.2	32046.2
SLC38A4	32046.2	32047.2
AC079906.1	32047.2	32048.2
AMIGO2	32048.2	32049.2
PCED1B	32049.2	32050.2
IFITM3P6	32050.2	32051.2
PCED1B-AS1	32051.2	32052.2
AC008083.2	32052.2	32053.2
AC008083.3	32053.2	32054.2
AC008083.4	32054.2	32055.2
PPIAP45	32055.2	32056.2
LINC02416	32056.2	32057.2
LINC02156	32057.2	32058.2
ADI1P3	32058.2	32059.2
AC003686.1	32059.2	32060.2
AC004486.1	32060.2	32061.2
RPAP3	32061.2	32062.2
AC004241.3	32062.2	32063.2
AC004241.1	32063.2	32064.2
ENDOU	32064.2	32065.2
AC004241.5	32065.2	32066.2
AC004241.2	32066.2	32067.2
RAPGEF3	32067.2	32068.2
SLC48A1	32068.2	32069.2
AC004241.4	32069.2	32070.2
HDAC7	32070.2	32071.2
AC004466.1	32071.2	32072.2
AC004466.3	32072.2	32073.2
AC004466.2	32073.2	32074.2
LINC02354	32074.2	32075.2
VDR	32075.2	32076.2
AC121338.1	32076.2	32077.2
AC121338.2	32077.2	32078.2
AC004801.7	32078.2	32079.2
TMEM106C	32079.2	32080.2
COL2A1	32080.2	32081.2
AC004801.5	32081.2	32082.2
AC004801.4	32082.2	32083.2
AC004801.3	32083.2	32084.2
AC004801.6	32084.2	32085.2
SENP1	32085.2	32086.2
AC004801.2	32086.2	32087.2
AC004801.1	32087.2	32088.2
PFKM	32088.2	32089.2
ASB8	32089.2	32090.2
AC074029.3	32090.2	32091.2
AC074029.2	32091.2	32092.2
PHBP18	32092.2	32093.2
AC074029.1	32093.2	32094.2
CCDC184	32094.2	32095.2
AC074029.4	32095.2	32096.2
AC024257.3	32096.2	32097.2
OR10AD1	32097.2	32098.2
AC024257.1	32098.2	32099.2
AC024257.5	32099.2	32100.2
H1-7	32100.2	32101.2
AC024257.2	32101.2	32102.2
ZNF641	32102.2	32103.2
AC090115.1	32103.2	32104.2
OR5BK1P	32104.2	32105.2
AC024257.4	32105.2	32106.2
OR5BT1P	32106.2	32107.2
OR5BJ1P	32107.2	32108.2
OR8S21P	32108.2	32109.2
OR8T1P	32109.2	32110.2
ANP32D	32110.2	32111.2
C12orf54	32111.2	32112.2
AC089987.2	32112.2	32113.2
RPS10P20	32113.2	32114.2
AC089987.1	32114.2	32115.2
OR8S1	32115.2	32116.2
OR5BS1P	32116.2	32117.2
LALBA	32117.2	32118.2
OR11M1P	32118.2	32119.2
KANSL2	32119.2	32120.2
CCNT1	32120.2	32121.2
TEX49	32121.2	32122.2
AC117498.1	32122.2	32123.2
ADCY6	32123.2	32124.2
ADCY6-DT	32124.2	32125.2
AC117498.2	32125.2	32126.2
CACNB3	32126.2	32127.2
DDX23	32127.2	32128.2
RND1	32128.2	32129.2
AC073610.1	32129.2	32130.2
AC073610.2	32130.2	32131.2
CCDC65	32131.2	32132.2
FKBP11	32132.2	32133.2
ARF3	32133.2	32134.2
WNT10B	32134.2	32135.2
WNT1	32135.2	32136.2
DDN	32136.2	32137.2
AC011603.3	32137.2	32138.2
DDN-AS1	32138.2	32139.2
PRKAG1	32139.2	32140.2
KMT2D	32140.2	32141.2
RHEBL1	32141.2	32142.2
AC011603.4	32142.2	32143.2
DHH	32143.2	32144.2
AC011603.1	32144.2	32145.2
LMBR1L	32145.2	32146.2
TUBA1B	32146.2	32147.2
AC011603.2	32147.2	32148.2
TUBA1A	32148.2	32149.2
TUBA1C	32149.2	32150.2
AC010173.1	32150.2	32151.2
AC125611.3	32151.2	32152.2
AC125611.4	32152.2	32153.2
PRPH	32153.2	32154.2
TROAP	32154.2	32155.2
C1QL4	32155.2	32156.2
DNAJC22	32156.2	32157.2
SPATS2	32157.2	32158.2
AC125611.2	32158.2	32159.2
AC125611.1	32159.2	32160.2
AC020612.4	32160.2	32161.2
KCNH3	32161.2	32162.2
MCRS1	32162.2	32163.2
PRPF40B	32163.2	32164.2
AC020612.3	32164.2	32165.2
FAM186B	32165.2	32166.2
POLR2KP1	32166.2	32167.2
AC020612.1	32167.2	32168.2
HIGD1AP9	32168.2	32169.2
FMNL3	32169.2	32170.2
TMBIM6	32170.2	32171.2
AC020612.2	32171.2	32172.2
LSM6P2	32172.2	32173.2
NCKAP5L	32173.2	32174.2
BCDIN3D-AS1	32174.2	32175.2
BCDIN3D	32175.2	32176.2
AC131157.1	32176.2	32177.2
RPL35AP28	32177.2	32178.2
FAIM2	32178.2	32179.2
LINC02395	32179.2	32180.2
LINC02396	32180.2	32181.2
AQP2	32181.2	32182.2
AC025154.2	32182.2	32183.2
AC025154.1	32183.2	32184.2
AQP5	32184.2	32185.2
AQP6	32185.2	32186.2
RACGAP1	32186.2	32187.2
ASIC1	32187.2	32188.2
SMARCD1	32188.2	32189.2
GPD1	32189.2	32190.2
COX14	32190.2	32191.2
AC074032.1	32191.2	32192.2
CERS5	32192.2	32193.2
LIMA1	32193.2	32194.2
AC008147.2	32194.2	32195.2
AC008147.3	32195.2	32196.2
AC008147.1	32196.2	32197.2
AC008147.4	32197.2	32198.2
FAM186A	32198.2	32199.2
AC090058.1	32199.2	32200.2
LARP4	32200.2	32201.2
DIP2B	32201.2	32202.2
AC013244.1	32202.2	32203.2
ATF1	32203.2	32204.2
AC013244.2	32204.2	32205.2
TMPRSS12	32205.2	32206.2
AC013244.3	32206.2	32207.2
METTL7A	32207.2	32208.2
AC008121.2	32208.2	32209.2
AC008121.1	32209.2	32210.2
HIGD1C	32210.2	32211.2
AC008121.3	32211.2	32212.2
SLC11A2	32212.2	32213.2
LETMD1	32213.2	32214.2
CSRNP2	32214.2	32215.2
TFCP2	32215.2	32216.2
RPL35AP29	32216.2	32217.2
PHBP19	32217.2	32218.2
POU6F1	32218.2	32219.2
AC139768.1	32219.2	32220.2
DAZAP2	32220.2	32221.2
SMAGP	32221.2	32222.2
BIN2	32222.2	32223.2
CELA1	32223.2	32224.2
GALNT6	32224.2	32225.2
SLC4A8	32225.2	32226.2
AC107031.1	32226.2	32227.2
SCN8A	32227.2	32228.2
HNRNPA3P10	32228.2	32229.2
AC068987.1	32229.2	32230.2
TMDD1	32230.2	32231.2
AC068987.2	32231.2	32232.2
FIGNL2	32232.2	32233.2
AC068987.3	32233.2	32234.2
FIGNL2-DT	32234.2	32235.2
ANKRD33	32235.2	32236.2
AC025259.2	32236.2	32237.2
ACVRL1	32237.2	32238.2
ACVR1B	32238.2	32239.2
TAMALIN	32239.2	32240.2
NR4A1	32240.2	32241.2
NR4A1AS	32241.2	32242.2
ATG101	32242.2	32243.2
AC025259.1	32243.2	32244.2
SMIM41	32244.2	32245.2
OR7E47P	32245.2	32246.2
AC078864.1	32246.2	32247.2
LINC00592	32247.2	32248.2
KRT80	32248.2	32249.2
LINC02874	32249.2	32250.2
METTL7AP1	32250.2	32251.2
KRT7	32251.2	32252.2
KRT7-AS	32252.2	32253.2
KRT86	32253.2	32254.2
KRT87P	32254.2	32255.2
AC021066.2	32255.2	32256.2
AC021066.1	32256.2	32257.2
AC021066.3	32257.2	32258.2
KRT81	32258.2	32259.2
AC121757.1	32259.2	32260.2
KRT83	32260.2	32261.2
KRT89P	32261.2	32262.2
KRT85	32262.2	32263.2
KRT84	32263.2	32264.2
AC078865.1	32264.2	32265.2
KRT82	32265.2	32266.2
AC055736.1	32266.2	32267.2
KRT90P	32267.2	32268.2
KRT75	32268.2	32269.2
KRT6B	32269.2	32270.2
KRT6C	32270.2	32271.2
KRT6A	32271.2	32272.2
KRT5	32272.2	32273.2
KRT71	32273.2	32274.2
KRT74	32274.2	32275.2
KRT72	32275.2	32276.2
KRT73-AS1	32276.2	32277.2
KRT73	32277.2	32278.2
KRT128P	32278.2	32279.2
KRT2	32279.2	32280.2
KRT1	32280.2	32281.2
KRT77	32281.2	32282.2
AC055716.3	32282.2	32283.2
